1; 4 tbsps gochujang; gochujang; Loose match
1; 6 tbsps ketchup; ketchup; Strict match
1; 6 tbsps maple syrup; maple syrup; Strict match
1; 4 tbsps soy sauce; soy sauce; Strict match
1; 2 tbsps rice wine vinegar; rice wine vinegar; Strict match
1; 1 tsp brown sugar; brown sugar; Strict match
1; 2 tsp sesame oil; sesame oil; Strict match
1; 50 ml water; water; Strict match
1; 2 cm knob of ginger; knob; Loose match
1; 2 cm knob of ginger; ginger; Strict match
1; 4 cloves of garlic; cloves; Strict match
1; 4 cloves of garlic; garlic; Strict match
1; 800 g skinless boneless chicken thigh fillets; chicken thigh fillets; Strict match
1; 2 eggs; eggs; Strict match
1; 120 g corn flour; corn flour; Strict match
1; 40 g plain flour; flour; Strict match
1; 1 tsp baking soda; baking soda; Strict match
1; 2 tsps garlic powder; garlic powder; Strict match
1; 2 tsps onion salt; onion salt; Strict match
1; 0.5 spring onion; spring onion; Strict match
1; 1 tsp toasted white/black sesame seeds; white / black sesame seeds; Loose match
1; 4 tbsps mayo; mayo; Loose match
1; salt; salt; Strict match
1; pepper; pepper; Strict match
1; 1 l vegetable oil; vegetable oil; Strict match
2; 500 g asparagus; asparagus; Strict match
2; 300 g butter; butter; Strict match
2; 4 egg yolks; egg yolks; Strict match
2; 4 slices of sourdough; sourdough; Strict match
2; 2 tsp white wine vinegar; white wine vinegar; Strict match
2; 4 eggs; eggs; Strict match
2; salt; salt; Strict match
3; 320 g puff pastry ; puff pastry; Strict match
3; 300 g jersey royal baby new potatoes; potatoes; Strict match
3; 2 leeks; leeks; Strict match
3; 4 garlic cloves; garlic; Strict match
3; 4 garlic cloves; ; Loose match
3; 200 g oatly creamy oat fraiche; ; Loose match
3; 50 g non-dairy milk; milk; Strict match
3; 1 pinch of nutmeg/1 fresh nutmeg seed; nutmeg seed; Loose match
3; 55 g rocket; rocket; Strict match
3; 1 lemon; lemon; Strict match
3; 60 g extra virgin olive oil; extra virgin olive oil; Strict match
3; 50 g pine nuts; pine nuts; Strict match
3; 100 g purple chicory; purple chicory; Loose match
4; 4 rashers smoked streaky bacon; rashers; Loose match
4; 4 rashers smoked streaky bacon; streaky bacon; Strict match
4; 4 spring onions; spring onions; Strict match
4; 1 red chilli; red chilli; Loose match
4; 1 carrot; carrot; Strict match
4; 200 g watercress; watercress; Strict match
4; 400 g minced pork; pork; Strict match
4; 5 cloves of garlic; cloves; Strict match
4; 5 cloves of garlic; garlic; Strict match
4; 3 cm knob of ginger; knob; Loose match
4; 3 cm knob of ginger; ginger; Strict match
4; 2 eggs; eggs; Strict match
4; 1 tbsp cornflour; cornflour; Strict match
4; 2 tbsp soy sauce; soy sauce; Strict match
4; 2 tsp fish sauce; fish sauce; Strict match
4; 12 sheets of rice paper; rice paper; Strict match
4; salt; salt; Strict match
4; vegetable oil; vegetable oil; Strict match
4; sweet chilli sauce, to serve; sweet chilli sauce; Loose match
4; sweet chilli sauce, to serve; ; Loose match
5; 500 g pork belly slices; pork belly slices; Loose match
5; 3 tbsp maple syrup; maple syrup; Strict match
5; 3 tbsp cider vinegar; cider vinegar; Strict match
5; 1 tbsp crushed black pepper; black pepper; Strict match
5; 500 g salad potatoes; salad potatoes;
5; 3 tbsp wholegrain mustard; wholegrain mustard; Strict match
5; 4 tbsp mayo; mayo; Loose match
5; 1 bunch of spring onions; spring onions; Strict match
5; 1 apple; apple; Strict match
5; handful of curly parsley; curly parsley; Strict match
5; salt; salt; Strict match
5; pepper; pepper; Strict match
6; 5 garlic bulbs; garlic; Strict match
6; 5 garlic bulbs; ; Loose match
6; 5 lemons; lemons; Loose match
6; 5 red chillies; red chillies; Loose match
6; 400 g orzo; orzo; Strict match
6; 100 g parmesan, plus more for sprinkling; parmesan; Strict match
6; 100 g parmesan, plus more for sprinkling; ; Loose match
6; salt; salt; Strict match
6; pepper; pepper; Strict match
6; olive oil; olive oil; Strict match
7; 600 g udon; udon; Strict match
7; 4 eggs ; eggs; Strict match
7; 3 large cloves of garlic; cloves; Strict match
7; 3 large cloves of garlic; garlic; Strict match
7; 1 banana shallot; banana shallot;
7; 150 g unsalted butter; butter; Strict match
7; 1.5 tbsp red miso; red miso; Strict match
7; 0.5 lemon; lemon; Strict match
7; 30 g parmesan; parmesan; Strict match
7; 1 sheet of nori; nori; Strict match
7; salt; salt; Strict match
7; pepper; pepper; Strict match
8; 4 chicken breasts; chicken breasts; Strict match
8; 450 g plain yogurt; yogurt; Strict match
8; 1.5 tsp ground cardamom; cardamom; Strict match
8; 1 large onion; onion; Strict match
8; 4 cloves of garlic; cloves; Strict match
8; 4 cloves of garlic; garlic; Strict match
8; 3 cm knob of ginger; knob; Loose match
8; 3 cm knob of ginger; ginger; Strict match
8; 1 cinnamon stick; cinnamon stick; Strict match
8; 1 tsp ground cumin; cumin; Strict match
8; 1 tsp ground coriander; coriander; Strict match
8; 0.5 tsp turmeric; turmeric; Strict match
8; 0.5 tsp tomato puree; tomato puree; Strict match
8; 0.5 tsp chilli powder; chilli powder; Strict match
8; 70 g ground almonds; almonds; Strict match
8; 30 g flaked almonds; flaked almonds; Loose match
8; 1 tbsp mango chutney; mango chutney; Strict match
8; handful of coriander; coriander; Strict match
8; salt; salt; Strict match
8; vegetable oil; vegetable oil; Strict match
9; 400 g tilda long grain rice; rice; Strict match
9; 2 spring onions; spring onions; Strict match
9; 3 cm knob of ginger; knob; Loose match
9; 3 cm knob of ginger; ginger; Strict match
9; 3 cloves of garlic; cloves; Strict match
9; 3 cloves of garlic; garlic; Strict match
9; 2 tsps sichuan peppercorns; sichuan peppercorns; Loose match
9; 500 g medium tofu; tofu; Strict match
9; 250 g pork mince; pork mince; Strict match
9; 3 tsps sugar; sugar; Strict match
9; 4 tbsps chilli bean sauce; chilli bean sauce; Strict match
9; 1 tbsp shaoxing wine; shaoxing wine; Strict match
9; 2 tbsps soy sauce; soy sauce; Strict match
9; 500 ml chicken stock; chicken stock; Strict match
9; 3 tbsps cornflour; cornflour; Strict match
9; 1 tbsp chilli oil; chilli oil; Strict match
9; 1 tsp sesame oil; sesame oil; Strict match
9; salt; salt; Strict match
9; vegetable oil; vegetable oil; Strict match
10; 4 bulbs of garlic; garlic; Strict match
10; 4 slices sourdough; sourdough; Strict match
10; 200 g goats cheese; goats cheese;
10; bunch of chives; chives; Strict match
10; 300 ml sunflower oil; sunflower oil; Strict match
10; 2 tbsp honey; honey; Strict match
10; salt; salt; Strict match
10; pepper; pepper; Strict match
11; 3 romano peppers; romano peppers; Loose match
11; 1 red onion; red onion; Strict match
11; 10 garlic cloves; garlic; Strict match
11; 10 garlic cloves; ; Loose match
11; 300 g chestnut mushrooms; chestnut mushrooms; Strict match
11; 80 g walnuts; walnuts; Strict match
11; 15 g raisins; raisins; Strict match
11; 2 tsp tomato paste; tomato paste; Strict match
11; 1 tsp ras el hanout; ras el hanout;
11; 1 tsp ground cumin; cumin; Strict match
11; 0.5 tsp smoked paprika; paprika; Strict match
11; 3 tbsp moscatel vinegar ; moscatel vinegar; Loose match
11; 125 g cooked lentils ; lentils; Strict match
11; 40 g coriander; coriander; Strict match
11; 1 large jalapeno; jalapeno; Strict match
11; 0.5 tsp ground cardamom; cardamom; Strict match
11; 0.5 tsp chilli flakes; chilli flakes; Strict match
11; 100 ml extra virgin olive oil; extra virgin olive oil; Strict match
11; 300 g orzo; orzo; Strict match
11; 800 ml vegetable stock; vegetable stock; Strict match
12; 8 tbsp peanut butter; peanut butter; Strict match
12; 4 tbsp soy sauce; soy sauce; Strict match
12; 2 tbsp sugar; sugar; Strict match
12; 2 tbsp apple cider vinegar; apple cider vinegar; Strict match
12; 1 bunch of spring onions; spring onions; Strict match
12; 200 g medium egg noodles; egg noodles; Strict match
12; 6 sausages; sausages; Strict match
12; 4 garlic cloves; garlic; Strict match
12; 4 garlic cloves; ; Loose match
12; 1-inch piece of ginger; ginger; Strict match
12; 1 tsp chilli flakes; chilli flakes; Strict match
12; 1 red chilli; red chilli; Loose match
12; vegetable oil; vegetable oil; Strict match
13; 160 g unsalted butter; butter; Strict match
13; 150 g plain flour; flour; Strict match
13; 4 large eggs; eggs; Strict match
13; 200 g light brown sugar; brown sugar; Strict match
13; 120 ml single cream; single cream; Strict match
13; 2 tsp vanilla extract; vanilla extract; Strict match
13; handful of roasted peanuts; roasted peanuts; Loose match
13; 2 pints judes salted caramel ice cream; judes;
13; 2 pints judes salted caramel ice cream; caramel ice cream; Loose match
13; salt; salt; Strict match
14; 4 large aubergines or 6 small aubergines; aubergines; Loose match
14; 4 large aubergines or 6 small aubergines; ; Loose match
14; 2 tsp sichuan peppercorns; sichuan peppercorns; Loose match
14; 4 large garlic cloves; garlic; Strict match
14; 4 large garlic cloves; ; Loose match
14; 3 cm knob of ginger; knob; Loose match
14; 3 cm knob of ginger; ginger; Strict match
14; 4 tbsp light soy sauce; soy sauce; Strict match
14; 4 tbsp garlic chilli sauce; garlic chilli sauce; Loose match
14; 4 tbsp sugar; sugar; Strict match
14; 2 tbsp rice vinegar; rice vinegar; Strict match
14; 2 tsp corn flour; corn flour; Strict match
14; 200 g tahini; tahini; Strict match
14; 5 tbsp toasted sesame oil; sesame oil; Strict match
14; 1 spring onion; spring onion; Strict match
14; handful of roasted peanuts; roasted peanuts; Loose match
14; salt; salt; Strict match
14; vegetable oil; vegetable oil; Strict match
15; 1 packet instant noodles; instant noodles; Loose match
15; 2 cloves of garlic; cloves; Strict match
15; 2 cloves of garlic; garlic; Strict match
15; 2 spring onions; spring onions; Strict match
15; 1 heaped tbsp oyster sauce; oyster sauce; Strict match
15; 1.5 tsp dark soy sauce; dark soy sauce; Strict match
15; vegetable oil; vegetable oil; Strict match
16; 600 g purple sprouting broccoli; purple sprouting broccoli;
16; 90 g rice flour, plus extra for dusting; rice flour; Strict match
16; 90 g rice flour, plus extra for dusting; extra; Loose match
16; 90 g rice flour, plus extra for dusting; ; Loose match
16; 110 g plain flour; flour; Strict match
16; 1 tsp baking powder; baking powder;
16; 1 tsp caster sugar; caster sugar; Strict match
16; 400 ml icy cold sparkling water; icy cold sparkling water;
16; 4 tbsp mayo; mayo; Loose match
16; 2 tbsp nduja; nduja;
16; 1 clove of garlic; garlic; Strict match
16; 2 lemons; lemons; Loose match
16; vegetable oil; vegetable oil; Strict match
16; salt; salt; Strict match
17; 8 eggs; eggs; Strict match
17; 3 onions; onions; Strict match
17; 4 medium potatoes; potatoes; Strict match
17; 3 roasted peppers; roasted peppers; Loose match
17; 1 tin of ortiz anchovies; ortiz anchovies; Loose match
17; 1 tbsp sweet smoked paprika; sweet smoked paprika; Strict match
17; 4 tbsp aioli; aioli; Strict match
17; 2 spring onions; spring onions; Strict match
17; salt; salt; Strict match
17; black pepper; black pepper; Strict match
17; olive oil; olive oil; Strict match
18; 310 g room temperature water; water; Strict match
18; 8 g dried instant yeast; instant yeast; Strict match
18; 10 g sugar; sugar; Strict match
18; 500 g strong white bread flour; white bread flour; Strict match
18; 10 g fine sea salt; sea salt; Strict match
18; 200 g semolina; semolina; Strict match
18; olive oil; olive oil; Strict match
19; 80 ml soy sauce; soy sauce; Strict match
19; 50 ml maple syrup; maple syrup; Strict match
19; 2 cloves of garlic; cloves; Strict match
