sent_id,token_text,token_lemma,token_tag,NER_tags
0,4,4,CD,B-QUANTITY
0,cloves,clove,NNS,B-UNIT
0,garlic,garlic,JJ,B-NAME
1,2,2,CD,B-QUANTITY
1,tablespoons,tablespoon,NNS,B-UNIT
1,vegetable,vegetable,JJ,B-NAME
1,oil,oil,NN,I-NAME
1,",",",",",",O
1,divided,divided,VBD,B-STATE
2,2,2,CD,B-QUANTITY
2,tablespoons,tablespoon,NNS,B-UNIT
2,dried,dried,VBD,DF
2,marjoram,marjoram,NN,B-NAME
3,1,1,CD,B-QUANTITY
3,large,large,JJ,SIZE
3,red,red,JJ,B-NAME
3,onion,onion,NN,I-NAME
3,",",",",",",O
3,1/4-inch,1/4-inch,JJ,O
3,slices,slice,NNS,O
3,pulled,pulled,VBD,O
3,into,into,IN,O
3,rings,ring,NNS,O
4,2,2,CD,B-QUANTITY
4,jalapeno,jalapeno,NN,B-NAME
4,peppers,pepper,NNS,I-NAME
4,",",",",",",O
4,seeded,seeded,VBD,B-STATE
4,and,and,CC,O
4,minced,minced,VBD,I-STATE
5,1,1,CD,B-QUANTITY
5,tablespoon,tablespoon,NN,B-UNIT
5,olive,olive,JJ,B-NAME
5,oil,oil,NN,I-NAME
6,extra,extra,JJ,I-NAME
6,virgin,virgin,NN,I-NAME
6,olive,olive,JJ,I-NAME
6,oil,oil,NN,I-NAME
6,",",",",",",O
6,for,for,IN,O
6,drizzling,drizzling,VBG,O
7,1/3,1/3,CD,B-QUANTITY
7,cup,cup,NN,B-UNIT
7,sliced,sliced,VBD,B-STATE
7,pitted,pitted,VBN,I-STATE
7,ripe,ripe,JJ,I-STATE
7,olives,olive,NNS,B-NAME
7,-LRB-,-LRB-,VBP,O
7,optional,optional,JJ,O
7,-RRB-,-RRB-,NN,O
8,3,3,CD,B-QUANTITY
8,cloves,clove,NNS,B-UNIT
8,garlic,garlic,JJ,B-NAME
8,",",",",",",O
8,minced,minced,VBD,B-STATE
9,4,4,CD,B-QUANTITY
9,tablespoons,tablespoon,NNS,B-UNIT
9,oyster,oyster,RB,B-NAME
9,sauce,sauce,VBP,I-NAME
10,1,1,CD,B-QUANTITY
10,-LRB-,-LRB-,JJ,O
10,10.75,10.75,CD,I-QUANTITY
10,ounce,ounce,NN,B-UNIT
10,-RRB-,-RRB-,NN,O
10,can,can,MD,I-UNIT
10,condensed,condensed,VB,B-STATE
10,tomato,tomato,NN,B-NAME
10,soup,soup,NN,I-NAME
11,2,2,CD,B-QUANTITY
11,cups,cup,NNS,B-UNIT
11,uncooked,uncooked,JJ,B-STATE
11,white,white,JJ,B-NAME
11,rice,rice,NN,I-NAME
12,2,2,CD,B-QUANTITY
12,tablespoons,tablespoon,NNS,B-UNIT
12,chili,chili,JJ,B-NAME
12,bean,bean,JJ,I-NAME
12,paste,paste,NN,I-NAME
12,-LRB-,-LRB-,NNP,O
12,toban,toban,NN,O
12,djan,djan,NN,O
12,-RRB-,-RRB-,NN,O
13,3/4,3/4,CD,B-QUANTITY
13,cup,cup,NN,B-UNIT
13,distilled,distilled,VBD,B-STATE
13,white,white,JJ,B-NAME
13,vinegar,vinegar,NN,I-NAME
14,1,1,CD,B-QUANTITY
14,teaspoon,teaspoon,NN,B-UNIT
14,grated,grated,VBN,B-STATE
14,fresh,fresh,JJ,DF
14,ginger,ginger,NN,B-NAME
14,root,root,NN,I-NAME
15,2,2,CD,B-QUANTITY
15,limes,lime,NNS,B-NAME
15,",",",",",",O
15,sliced,sliced,VBD,B-STATE
15,into,into,IN,O
15,wedges,wedge,NNS,O
16,1,1,CD,B-QUANTITY
16,cup,cup,NN,B-UNIT
16,cremini,cremini,NN,B-NAME
16,mushrooms,mushroom,NNS,I-NAME
16,",",",",",",O
16,cut,cut,VBN,B-STATE
16,in,in,IN,O
16,half,half,NN,O
17,1,1,CD,B-QUANTITY
17,zucchini,zucchini,NN,B-NAME
17,",",",",",",O
17,halved,halved,VBN,B-STATE
17,lengthwise,lengthwise,NN,I-STATE
17,and,and,CC,O
17,cut,cut,VB,I-STATE
17,into,into,IN,O
