,ID,Ingredients
0,1,gochujang base
1,1,ketchup
2,1,maple syrup
3,1,soy sauce
4,1,seasoned rice wine vinegar
5,1,sugar
6,1,sesame oil
7,1,water
8,1,ginger
9,1,garlic
10,1,chicken thighs
11,1,eggs
12,1,corn flour
13,1,flour
14,1,soda
15,1,garlic powder
16,1,onion salt
17,1,spring onion
18,1,white
19,1,sesame seeds
20,1,mayonnaise
21,1,salt
22,1,pepper
23,1,vegetable oil
24,2,asparagus
25,2,butter
26,2,eggs
27,2,sourdough
28,2,wine vinegar
29,2,eggs
30,2,salt
31,3,puff pastry
32,3,potato
33,3,leeks
34,3,garlic
35,3,oat fraiche
36,3,milk
37,3,nutmeg
38,3,nutmeg
39,3,rocket
40,3,lemon
41,3,virgin olive oil
42,3,pine nuts
43,3,chicory
44,4,streaky bacon
45,4,spring onion
46,4,chilli
47,4,carrot
48,4,watercress
49,4,minced pork
50,4,garlic
51,4,ginger
52,4,eggs
53,4,cornflour
54,4,soy sauce
55,4,fish sauce
56,4,rice paper
57,4,salt
58,4,vegetable oil
59,4,chilli sauce
60,5,pork belly
61,5,maple syrup
62,5,cider vinegar
63,5,pepper
64,5,charlotte potato
65,5,wholegrain mustard
66,5,mayonnaise
67,5,spring onion
68,5,apple
69,5,parsley
70,5,salt
71,5,pepper
72,6,garlic
73,6,lemon
74,6,chillies
75,6,orzo
76,6,parmesan
77,6,salt
78,6,pepper
79,6,olive oil
80,7,udon
81,7,eggs
82,7,garlic
83,7,banana shallots
84,7,butter
85,7,miso
86,7,lemon
87,7,parmesan
88,7,nori
89,7,salt
90,7,pepper
91,8,chicken breast
92,8,yogurt
93,8,cardamom
94,8,onion
95,8,garlic
96,8,ginger
97,8,cinnamon
98,8,cumin
99,8,coriander
100,8,turmeric
101,8,tomato puree
102,8,chilli powder
103,8,almond
104,8,flaked almonds
105,8,mango chutney
106,8,coriander
107,8,salt
108,8,vegetable oil
109,9,grain rice
110,9,spring onion
111,9,ginger
112,9,garlic
113,9,sichuan pepper
114,9,tofu
115,9,pork mince
116,9,sugar
117,9,chilli bean sauce
118,9,shaoxing wine
119,9,soy sauce
120,9,chicken stock
121,9,cornflour
122,9,chilli oil
123,9,sesame oil
124,9,salt
125,9,vegetable oil
126,10,garlic
127,10,sourdough
128,10,goat cheese
129,10,chives
130,10,sunflower oil
131,10,honey
132,10,salt
133,10,pepper
134,11,romano peppers
135,11,onion
136,11,garlic
137,11,chestnut mushrooms
138,11,walnuts
139,11,raisins
140,11,tomato paste
141,11,ras el hanout
142,11,cumin
143,11,paprika
144,11,moscatel vinegar
145,11,sherry vinegar
146,11,lentils
147,11,coriander
148,11,jalapeno
149,11,cardamom
150,11,chilli
151,11,virgin olive oil
152,11,orzo
153,11,vegetable stock
154,12,peanut butter
155,12,soy sauce
156,12,sugar
157,12,apple cider vinegar
158,12,spring onion
159,12,egg noodles
160,12,sausages
161,12,garlic
162,12,ginger
163,12,chilli
164,12,chilli
165,12,vegetable oil
166,13,butter
167,13,flour
168,13,eggs
169,13,sugar
170,13,single cream
171,13,vanilla extract
172,13,peanuts
173,13,caramel ice cream
174,13,salt
175,14,aubergine
176,14,sichuan pepper
177,14,garlic
178,14,ginger
179,14,soy sauce
180,14,chilli garlic sauce
181,14,sugar
182,14,rice vinegar
183,14,corn flour
184,14,tahini
185,14,sesame oil
186,14,spring onion
187,14,peanuts
188,14,salt
189,14,vegetable oil
190,15,noodles
191,15,garlic
192,15,spring onion
193,15,oyster sauce
194,15,dark soy sauce
195,15,vegetable oil
196,16,purple sprouting broccoli
197,16,rice flour
198,16,flour
199,16,powder
200,16,caster sugar
201,16,carbonated water
202,16,mayonnaise
203,16,nduja
204,16,garlic
205,16,lemon
206,16,vegetable oil
207,16,salt
208,17,eggs
209,17,onion
210,17,potato
211,17,peppers
212,17,anchovies
