ID,Steps
2,start by trimming any woody ends from the asparagus and set aside.
2,"i also like to peel the bottom 3 inches or so from the stem, but you dont have to."
2,"to make brown butter, melt the butter in a small saucepan over a medium heat."
2,"it will bubble for a few minutes, then once the bubbles have died down, youll see the milk solids sinking to the bottom of the pan and turning brown as they caramelise."
2,"as soon as the mix starts to turn a light brown colour, turn the heat right down, and remove from the heat just before it reaches a hazelnut brown colour."
2,grab a heatproof bowl that will fit over a small pan.
2,"add the egg yolks, white wine vinegar and a pinch of salt and whisk to combine."
2,"fill the pan with water and bring to a simmer, then place the bowl on top (make sure its not touching the water)."
2,"whisk the mixture and as it warms it will thicken, this will take 3 or 4 mins."
2,"now slowly pour in the melted butter, whisking to emulsify and remove from the heat."
2,taste and add salt and more vinegar if needed.
2,set aside somewhere warm.
2,"put the bread into the toaster, meanwhile, cook the asparagus."
2,bring a large pan of salted water to a boil.
2,add the asparagus and cook for 2 or 3 mins until tender.
2,remove and set aside.
2,spread the toast with butter and top with the asparagus.
2,"to poach the eggs, turn the heat right down on the water, stir well to create a whirlpool and crack in the eggs."
2,allow to cook for about 3 mins until the white are set.
2,remove with a slotted spoon and place on top of the asparagus.
2,"if you need to, warm up the hollandaise again by placing the bowl back over the pan of hot water and whisking."
2,pour the hollandaise over the asparagus and eat straight away.
4,"finely chop the bacon, spring onions, chilli, carrot and watercress."
4,add this into a bowl along with the minced pork.
4,"grate in the garlic and ginger, and mix in eggs, cornflour, soy sauce, fish sauce."
4,mix the filling very well so it is evenly coated.
4,preheat the oven to 230c.
4,fill a bowl with water and dunk the rice paper into the water only for 1 second.
4,"put onto your chopping board, after 30 seconds the paper will have hydrated and will be ready to use."
4,if you oversoak then it will become too soft to handle.
4,add two tbsp of the pork filling onto the paper.
4,"wrap up the spring roll, it should stick to itself easily and then put to the side."
4,"continue with the rest of the rolls, be careful not to place them next to each other otherwise they will stick."
4,get a small bowl and fill it with vegetable oil.
4,dunk the rolls into the oil and then place them directly onto your baking tray (this helps them get super crispy in the oven without having to deep fry!
4,"bake for 12 mins, turning half way through."
4,place onto your serving plate and serve with sweet chilli sauce.
5,preheat the oven to 200c.
5,line a baking tray with parchment paper and lay out the pork belly slices on top.
5,"season with salt and pepper and bake for 30-35 mins until crispy and golden brown, flipping halfway through."
5,"meanwhile, add the maple syrup, 2 tbsp vinegar and black pepper to a small saucepan and bring to a boil, cook for 2-3 mins until slightly reduced."
5,add the salad potatoes to a medium saucepan and cover with cold water.
5,season with salt and bring to a bare simmer.
5,cook for 13-15 mins until tender.
5,drain and allow to steam dry.
5,mix the wholegrain mustard with the mayo and remaining vinegar.
5,cut the apple into matchsticks and finely slice the spring onions and celery.
5,"mix the mustard mayo through the cooked potatoes with the spring onions, apple and celery."
5,roughly chop the parsley and add to the potato salad.
5,"after the pork has had 35 mins, brush with the maple glaze and pop back in the oven for 5-10 mins, brushing with more glaze now and then, until golden and caramelised."
5,"divide the salad between warm plates and top with a couple of slices of pork, drizzle over any extra glaze and get stuck in."
6,peel the garlic cloves.
6,you want to keep them whole so dont smash them! peel the lemon rinds into long strips and halve and deseed the red chillies.
6,"pop the garlic cloves, lemon rind and deseeded chillies in a small saucepan and cover with 750ml olive oil, or enough to cover."
6,heat the saucepan over low heat and cook gently for 30 mins or until the garlic is soft.
6,you want the oil to barely be simmering.
6,"if it starts to bubble, remove the pan from the heat to cool a little then pop it back onto the stove to continue cooking."
6,strain the oil into a bowl.
6,"this oil is liquid gold - store it in a jar and use it on/in everything! cook the orzo in plenty of boiling salted water until al dente, reserving some of the cooking water for later."
6,"meanwhile, thinly slice the chillies and grate the parmesan."
6,place both in a bowl with the garlic and season well with salt and pepper.
6,mash into a paste.
6,add a ladleful of the orzo cooking water to the cheesy confit garlic paste and mix to loosen.
6,drain the orzo and return it to the pot.
6,add the cheesy confit garlic paste and another splash of orzo cooking water and toss.
6,"toss until a luscious sauce forms and the orzo is nicely coated in it, adding more pasta water as needed."
6,"to serve, top with a sprinkle of parmesan and the confit lemon pieces - enjoy!"
7,bring a pot of salted water to boil then add your udon and cook according to packet instructions.
7,"drain your udon, keeping the noodle water."
7,pop your eggs into another pot of boiling water and cook for 6 1/2 mins to get perfect jammy eggs.
7,"once boiled, pop them into an ice-cold water both to stop them from cooking."
7,mince your garlic and finely slice your shallot.
