,ID,Ingredients,match,order,note
0,1,gochujang base,gochujang base,2,Perfect
1,1,ketchup,ketchup,1,Perfect
2,1,maple syrup,maple syrup,2,Perfect
3,1,soy sauce,soy sauce,2,Perfect
4,1,seasoned rice wine vinegar,seasoned rice wine vinegar,4,Perfect
5,1,sugar,sugar,1,Perfect
6,1,sesame oil,sesame oil,2,Perfect
7,1,water,water,1,Perfect
8,1,ginger,ginger,1,Perfect
9,1,garlic,garlic,1,Perfect
10,1,chicken thighs,chicken thighs,2,Perfect
11,1,eggs,eggs,1,Perfect
12,1,corn flour,corn flour,2,Perfect
13,1,flour,flour,1,Perfect
14,1,soda,soda,1,Perfect
15,1,garlic powder,garlic powder,2,Perfect
16,1,onion salt,onion salt,2,Perfect
17,1,spring onion,spring onion,2,Perfect
18,1,white,whitebait,0,Not perfect
19,1,sesame seeds,sesame seeds,2,Perfect
20,1,mayonnaise,mayonnaise,1,Perfect
21,1,salt,salt,1,Perfect
22,1,pepper,pepper,1,Perfect
23,1,vegetable oil,vegetable oil,2,Perfect
24,2,asparagus,asparagus,1,Perfect
25,2,butter,butter,1,Perfect
26,2,eggs,eggs,1,Perfect
27,2,sourdough,sourdough,1,Perfect
28,2,wine vinegar,wine vinegar,2,Perfect
29,2,eggs,eggs,1,Perfect
30,2,salt,salt,1,Perfect
31,3,puff pastry,puff pastry,2,Perfect
32,3,potato,potato,1,Perfect
33,3,leeks,leeks,1,Perfect
34,3,garlic,garlic,1,Perfect
35,3,oat fraiche,oat,1,Perfect
36,3,milk,milk,1,Perfect
37,3,nutmeg,nutmeg,1,Perfect
38,3,nutmeg,nutmeg,1,Perfect
39,3,rocket,rocket,1,Perfect
40,3,lemon,lemon,1,Perfect
41,3,virgin olive oil,virgin olive oil,3,Perfect
42,3,pine nuts,pine nuts,2,Perfect
43,3,chicory,chicory,1,Perfect
44,4,streaky bacon,streaky bacon,2,Perfect
45,4,spring onion,spring onion,2,Perfect
46,4,chilli,chilli,1,Perfect
47,4,carrot,carrot,1,Perfect
48,4,watercress,watercress,1,Perfect
49,4,minced pork,minced pork,2,Perfect
50,4,garlic,garlic,1,Perfect
51,4,ginger,ginger,1,Perfect
52,4,eggs,eggs,1,Perfect
53,4,cornflour,cornflour,1,Perfect
54,4,soy sauce,soy sauce,2,Perfect
55,4,fish sauce,fish sauce,2,Perfect
56,4,rice paper,rice paper,2,Perfect
57,4,salt,salt,1,Perfect
58,4,vegetable oil,vegetable oil,2,Perfect
59,4,chilli sauce,chilli sauce,2,Perfect
60,5,pork belly,pork belly,2,Perfect
61,5,maple syrup,maple syrup,2,Perfect
62,5,cider vinegar,cider vinegar,2,Perfect
63,5,pepper,pepper,1,Perfect
64,5,charlotte potato,charlotte potato,2,Perfect
65,5,wholegrain mustard,wholegrain mustard,2,Perfect
66,5,mayonnaise,mayonnaise,1,Perfect
67,5,spring onion,spring onion,2,Perfect
68,5,apple,apple,1,Perfect
69,5,parsley,parsley,1,Perfect
70,5,salt,salt,1,Perfect
71,5,pepper,pepper,1,Perfect
72,6,garlic,garlic,1,Perfect
73,6,lemon,lemon,1,Perfect
74,6,chillies,chillies,1,Perfect
75,6,orzo,orzo,1,Perfect
76,6,parmesan,parmesan,1,Perfect
77,6,salt,salt,1,Perfect
78,6,pepper,pepper,1,Perfect
79,6,olive oil,olive oil,2,Perfect
80,7,udon,udon,1,Perfect
81,7,eggs,eggs,1,Perfect
82,7,garlic,garlic,1,Perfect
83,7,banana shallots,shallots,1,Perfect
84,7,butter,butter,1,Perfect
85,7,miso,miso,1,Perfect
86,7,lemon,lemon,1,Perfect
87,7,parmesan,parmesan,1,Perfect
88,7,nori,nori,1,Perfect
89,7,salt,salt,1,Perfect
90,7,pepper,pepper,1,Perfect
91,8,chicken breast,chicken breast,2,Perfect
92,8,yogurt,yogurt,1,Perfect
93,8,cardamom,cardamom,1,Perfect
94,8,onion,onion,1,Perfect
95,8,garlic,garlic,1,Perfect
96,8,ginger,ginger,1,Perfect
97,8,cinnamon,cinnamon,1,Perfect
98,8,cumin,cumin,1,Perfect
99,8,coriander,coriander,1,Perfect
100,8,turmeric,turmeric,1,Perfect
101,8,tomato puree,tomato puree,2,Perfect
102,8,chilli powder,chilli powder,2,Perfect
103,8,almond,almond,1,Perfect
104,8,flaked almonds,almonds,1,Perfect
105,8,mango chutney,mango chutney,2,Perfect
106,8,coriander,coriander,1,Perfect
107,8,salt,salt,1,Perfect
108,8,vegetable oil,vegetable oil,2,Perfect
109,9,grain rice,grain rice,2,Perfect
110,9,spring onion,spring onion,2,Perfect
111,9,ginger,ginger,1,Perfect
112,9,garlic,garlic,1,Perfect
113,9,sichuan pepper,sichuan pepper,2,Perfect
114,9,tofu,tofu,1,Perfect
115,9,pork mince,pork mince,2,Perfect
116,9,sugar,sugar,1,Perfect
117,9,chilli bean sauce,chilli bean sauce,3,Perfect
118,9,shaoxing wine,shaoxing wine,2,Perfect
119,9,soy sauce,soy sauce,2,Perfect
120,9,chicken stock,chicken stock,2,Perfect
121,9,cornflour,cornflour,1,Perfect
122,9,chilli oil,chilli oil,2,Perfect
123,9,sesame oil,sesame oil,2,Perfect
124,9,salt,salt,1,Perfect
125,9,vegetable oil,vegetable oil,2,Perfect
126,10,garlic,garlic,1,Perfect
127,10,sourdough,sourdough,1,Perfect
128,10,goat cheese,goat cheese,2,Perfect
129,10,chives,chives,1,Perfect
130,10,sunflower oil,sunflower oil,2,Perfect
131,10,honey,honey,1,Perfect
132,10,salt,salt,1,Perfect
133,10,pepper,pepper,1,Perfect
134,11,romano peppers,peppers,1,Perfect
135,11,onion,onion,1,Perfect
136,11,garlic,garlic,1,Perfect
137,11,chestnut mushrooms,chestnut mushrooms,2,Perfect
138,11,walnuts,walnuts,1,Perfect
139,11,raisins,raisins,1,Perfect
140,11,tomato paste,tomato paste,2,Perfect
141,11,ras el hanout,za'atar,0,Not perfect
142,11,cumin,cumin,1,Perfect
143,11,paprika,paprika,1,Perfect
144,11,moscatel vinegar,vinegar,1,Perfect
145,11,sherry vinegar,sherry vinegar,2,Perfect
146,11,lentils,lentils,1,Perfect
147,11,coriander,coriander,1,Perfect
148,11,jalapeno,jalapeno,1,Perfect
149,11,cardamom,cardamom,1,Perfect
150,11,chilli,chilli,1,Perfect
151,11,virgin olive oil,virgin olive oil,3,Perfect
152,11,orzo,orzo,1,Perfect
153,11,vegetable stock,vegetable stock,2,Perfect
154,12,peanut butter,peanut butter,2,Perfect
155,12,soy sauce,soy sauce,2,Perfect
156,12,sugar,sugar,1,Perfect
157,12,apple cider vinegar,apple cider vinegar,3,Perfect
158,12,spring onion,spring onion,2,Perfect
159,12,egg noodles,egg noodles,2,Perfect
160,12,sausages,sausages,1,Perfect
161,12,garlic,garlic,1,Perfect
162,12,ginger,ginger,1,Perfect
163,12,chilli,chilli,1,Perfect
164,12,chilli,chilli,1,Perfect
165,12,vegetable oil,vegetable oil,2,Perfect
166,13,butter,butter,1,Perfect
167,13,flour,flour,1,Perfect
168,13,eggs,eggs,1,Perfect
169,13,sugar,sugar,1,Perfect
170,13,single cream,single cream,2,Perfect
171,13,vanilla extract,vanilla extract,2,Perfect
172,13,peanuts,peanuts,1,Perfect
173,13,caramel ice cream,ice cream,2,Perfect
174,13,salt,salt,1,Perfect
175,14,aubergine,aubergine,1,Perfect
176,14,sichuan pepper,sichuan pepper,2,Perfect
177,14,garlic,garlic,1,Perfect
178,14,ginger,ginger,1,Perfect
179,14,soy sauce,soy sauce,2,Perfect
180,14,chilli garlic sauce,chilli garlic sauce,3,Perfect
181,14,sugar,sugar,1,Perfect
182,14,rice vinegar,rice vinegar,2,Perfect
183,14,corn flour,corn flour,2,Perfect
184,14,tahini,tahini,1,Perfect
185,14,sesame oil,sesame oil,2,Perfect
186,14,spring onion,spring onion,2,Perfect
187,14,peanuts,peanuts,1,Perfect
188,14,salt,salt,1,Perfect
189,14,vegetable oil,vegetable oil,2,Perfect
190,15,noodles,noodles,1,Perfect
191,15,garlic,garlic,1,Perfect
192,15,spring onion,spring onion,2,Perfect
193,15,oyster sauce,oyster sauce,2,Perfect
194,15,dark soy sauce,dark soy sauce,3,Perfect
195,15,vegetable oil,vegetable oil,2,Perfect
196,16,purple sprouting broccoli,broccoli sprouts,1,Not perfect
197,16,rice flour,rice flour,2,Perfect
198,16,flour,flour,1,Perfect
199,16,powder,pernod,0,Not perfect
200,16,caster sugar,caster sugar,2,Perfect
201,16,carbonated water,carbonated water,2,Perfect
202,16,mayonnaise,mayonnaise,1,Perfect
203,16,nduja,doubanjiang,0,Not perfect
204,16,garlic,garlic,1,Perfect
205,16,lemon,lemon,1,Perfect
206,16,vegetable oil,vegetable oil,2,Perfect
207,16,salt,salt,1,Perfect
208,17,eggs,eggs,1,Perfect
209,17,onion,onion,1,Perfect
210,17,potato,potato,1,Perfect
211,17,peppers,peppers,1,Perfect
212,17,anchovies,anchovies,1,Perfect
213,17,paprika,paprika,1,Perfect
214,17,aioli,aioli,1,Perfect
215,17,spring onion,spring onion,2,Perfect
216,17,salt,salt,1,Perfect
217,17,pepper,pepper,1,Perfect
218,17,olive oil,olive oil,2,Perfect
