,link,ingredients
0,/recipedb/search_ingre/13_feta cheese_106,feta cheese
1,/recipedb/search_ingre/13_rom tomato_180,rom tomato
2,/recipedb/search_ingre/13_cucumber_96,cucumber
3,/recipedb/search_ingre/13_olive oil_5,olive oil
4,/recipedb/search_ingre/13_pita bread_367,pita bread
5,/recipedb/search_ingre/13_phyllo dough_503,phyllo dough
6,/recipedb/search_ingre/13_meat lamb_14742,meat lamb
7,/recipedb/search_ingre/13_onion_1,onion
8,/recipedb/search_ingre/13_green bell pepper_70,green bell pepper
9,/recipedb/search_ingre/13_garlic_10,garlic
10,/recipedb/search_ingre/13_butter_2,butter
11,/recipedb/search_ingre/13_pepper_12,pepper
12,/recipedb/search_ingre/13_almond_64,almond
13,/recipedb/search_ingre/13_cinnamon_15,cinnamon
14,/recipedb/search_ingre/13_tahini_339,tahini
15,/recipedb/search_ingre/13_date_281,date
16,/recipedb/search_ingre/13_beef_27,beef
18,/recipedb/search_ingre/13_garlic clove_4,garlic clove
19,/recipedb/search_ingre/13_tomato_8,tomato
21,/recipedb/search_ingre/13_egg_7,egg
22,/recipedb/search_ingre/13_breadcrumb_91,breadcrumb
23,/recipedb/search_ingre/13_okra_512,okra
25,/recipedb/search_ingre/13_lemon_35,lemon
26,/recipedb/search_ingre/13_eggplant_150,eggplant
31,/recipedb/search_ingre/13_parsley_16,parsley
32,/recipedb/search_ingre/13_coriander_57,coriander
33,/recipedb/search_ingre/13_salt_0,salt
34,/recipedb/search_ingre/13_cumin_20,cumin
35,/recipedb/search_ingre/13_black pepper_9,black pepper
40,/recipedb/search_ingre/13_balsamic vinegar_128,balsamic vinegar
41,/recipedb/search_ingre/13_salt pepper_13,salt pepper
42,/recipedb/search_ingre/13_chicken broth_34,chicken broth
43,/recipedb/search_ingre/13_chicken_61,chicken
44,/recipedb/search_ingre/13_molukhia_19948,molukhia
46,/recipedb/search_ingre/13_chicken bouillon cube_372,chicken bouillon cube
47,/recipedb/search_ingre/13_allspice_125,allspice
48,/recipedb/search_ingre/13_corn oil_420,corn oil
50,/recipedb/search_ingre/13_walnut_112,walnut
52,/recipedb/search_ingre/13_brown sugar_31,brown sugar
54,/recipedb/search_ingre/13_nutmeg_51,nutmeg
55,/recipedb/search_ingre/13_phyllo pastry_500,phyllo pastry
56,/recipedb/search_ingre/13_ghee_250,ghee
58,/recipedb/search_ingre/13_water_3,water
59,/recipedb/search_ingre/13_lemon juice_17,lemon juice
60,/recipedb/search_ingre/13_orange blossom water_974,orange blossom water
62,/recipedb/search_ingre/13_flour_14,flour
65,/recipedb/search_ingre/13_oil_32,oil
71,/recipedb/search_ingre/13_vegetable oil_19,vegetable oil
72,/recipedb/search_ingre/13_dill_138,dill
