,ID,Ingredients,match,order,note
18,1,white,whitebait,0,Not perfect
141,11,ras el hanout,za'atar,0,Not perfect
196,16,purple sprouting broccoli,broccoli sprouts,1,Not perfect
199,16,powder,pernod,0,Not perfect
203,16,nduja,doubanjiang,0,Not perfect
238,19,pak choi,zucchini,0,Not perfect
251,20,prosociano wedge,wine,0,Not perfect
274,22,feta,fat,0,Not perfect
282,23,cavolo nero,woodpigeon,0,Not perfect
392,31,sugar snap peas,sugar-snap pea,1,Not perfect
437,34,creme fraiche,cream,0,Not perfect
503,40,zaatar,za'atar,0,Not perfect
537,43,guinness paste,zest,0,Not perfect
544,44,pak choi,zucchini,0,Not perfect
551,45,feta,fat,0,Not perfect
570,47,paneer,pear,0,Not perfect
588,48,self raising flour,semolina flour,1,Not perfect
603,51,nduja,doubanjiang,0,Not perfect
638,55,nduja,doubanjiang,0,Not perfect
641,55,creme fraiche,cream,0,Not perfect
651,57,powder,pernod,0,Not perfect
652,57,bicarbonate of soda,soda bread,1,Not perfect
677,60,paneer,pear,0,Not perfect
794,70,zaatar,za'atar,0,Not perfect
843,73,feta,fat,0,Not perfect
848,74,paneer,pear,0,Not perfect
856,74,five-spice powder,zander,0,Not perfect
911,77,baby gem lettuce,sea lettuce,1,Not perfect
1002,84,powder,pernod,0,Not perfect
1025,86,purple sprouting broccoli,broccoli sprouts,1,Not perfect
1034,87,jord oat drink,ground oat,1,Not perfect
1084,89,pak choi,zucchini,0,Not perfect
1092,90,ras el hanout,za'atar,0,Not perfect
1192,96,pak choi,zucchini,0,Not perfect
1220,99,cavolo nero,woodpigeon,0,Not perfect
1293,105,nduja,doubanjiang,0,Not perfect
1319,108,purple sprouting broccoli,broccoli sprouts,1,Not perfect
1323,108,gouda,dough,0,Not perfect
1361,112,brie,bilberries,0,Not perfect
1376,114,brie,bilberries,0,Not perfect
1395,116,powder,pernod,0,Not perfect
1424,120,feta,fat,0,Not perfect
1433,121,powder,pernod,0,Not perfect
1434,121,bicarbonate of soda,soda bread,1,Not perfect
1471,123,bicarbonate of soda,soda bread,1,Not perfect
1486,125,creme fraiche,cream,0,Not perfect
1492,126,bicarbonate of soda,soda bread,1,Not perfect
1496,126,powder,pernod,0,Not perfect
1648,139,nduja,doubanjiang,0,Not perfect
1669,141,nduja,doubanjiang,0,Not perfect
1722,145,cavolo nero,woodpigeon,0,Not perfect
1742,147,bay leaves,wensleydale,0,Not perfect
1750,147,cavolo nero,woodpigeon,0,Not perfect
1761,148,scamorza,cardamom,0,Not perfect
1780,149,taco shells,sole,0,Not perfect
1804,151,nduja,doubanjiang,0,Not perfect
1817,152,cavolo nero,woodpigeon,0,Not perfect
1847,154,powder,pernod,0,Not perfect
1900,159,zaatar,za'atar,0,Not perfect
2055,171,bay leaves,wensleydale,0,Not perfect
2115,174,self raising flour,semolina flour,1,Not perfect
2143,176,powder,pernod,0,Not perfect
2202,179,hot dog bun,potato bun,1,Not perfect
